a,a.DET:4
compelled,compel.V
competent,competent.ADJ
complain,complain.V::g1s:g1p:g2s:g2p:g3p
complained,complain.V
complaining,complain.V
complaint,complaint.N
complete,complete.V::g1s:g1p:g2s:g2p:g3p
completed,complete.V
completely,completely.ADV
complex,complex.N
complexes,complex.N
complicated,complicate.V
complimentary,complimentary.N
compliments,compliment.V::g3s
comply,comply.V::g1s:g1p:g2s:g2p:g3p
components,component.N
composed,compose.V
composite,composite.V::g1s:g1p:g2s:g2p:g3p
compress,compress.V::g1s:g1p:g2s:g2p:g3p
compression,compression.N
conceal,conceal.V::g1s:g1p:g2s:g2p:g3p
conceivable,conceivable.ADJ
conceivably,conceivably.ADV
conceived,conceive.V
concentrate,concentrate.V::g1s:g1p:g2s:g2p:g3p
concentrated,concentrate.V
concentrating,concentrate.V
concept,concept.N
concern,concern.V::g1s:g1p:g2s:g2p:g3p
concerned,concern.V
concerns,concern.V::g3s
concert,concert.V::g1s:g1p:g2s:g2p:g3p
conclude,conclude.V::g1s:g1p:g2s:g2p:g3p
concluded,conclude.V
conclusion,conclusion.N
conclusions,conclusion.N
condensing,condense.V
condescend,condescend.V::g1s:g1p:g2s:g2p:g3p
condition,condition.V::g1s:g1p:g2s:g2p:g3p
conditions,condition.V::g3s
condoning,condone.V
conductor,conductor.N
conferences,conference.V::g3s
confess,confess.V::g1s:g1p:g2s:g2p:g3p
confirmation,confirmation.N
confirm,confirm.V::g1s:g1p:g2s:g2p:g3p
confirmed,confirm.V
conflict,conflict.V::g1s:g1p:g2s:g2p:g3p
conforming,conform.V
conformity,conformity.N
confused,confuse.V
confusion,confusion.N
confusions,confusion.N
congested,congest.V
congestion,congestion.N
congratulations,congratulation.N
congress,congress.N
conjecture,conjecture.V::g1s:g1p:g2s:g2p:g3p
conjunctive,conjunctive.N
connect,connect.V::g1s:g1p:g2s:g2p:g3p
connected,connect.V
connection,connection.N
connections,connection.N
connects,connect.V::g3s
connexion,connexion.N
connexions,connexion.N
conscience,conscience.N
conscientious,conscientious.ADJ
consent,consent.V::g1s:g1p:g2s:g2p:g3p
consented,consent.V
consequence,consequence.N
consequences,consequence.N
consequent,consequent.N
consequently,consequently.ADV
considerable,considerable.N
consideration,consideration.N
consider,consider.V::g1s:g1p:g2s:g2p:g3p
considered,consider.V
consist,consist.V::g1s:g1p:g2s:g2p:g3p
consists,consist.V::g3s
conspicuous,conspicuous.ADJ
constant,constant.N
constantly,constantly.ADV
constants,constant.N
constituent,constituent.N
constituents,constituent.N
construct,construct.V::g1s:g1p:g2s:g2p:g3p
construction,construction.N
consulate,consulate.N
consult,consult.V::g1s:g1p:g2s:g2p:g3p
consulting,consult.V
contact,contact.ADV
contain,contain.V::g1s:g1p:g2s:g2p:g3p
contained,contain.V
containing,contain.V
contains,contain.V::g3s
contempt,contempt.N
content,content.V::g1s:g1p:g2s:g2p:g3p
contention,contention.N
contents,content.V::g3s
context,context.N
contiguous,contiguous.ADJ
continue,continue.V::g1s:g1p:g2s:g2p:g3p
continued,continue.V
continues,continue.V::g3s
continuing,continue.V
continuously,continuously.ADV
contract,contract.V::g1s:g1p:g2s:g2p:g3p
contracted,contract.V
contraction,contraction.N
contractions,contraction.N
contradict,contradict.V::g1s:g1p:g2s:g2p:g3p
contradicted,contradict.V
contradicting,contradict.V
contradiction,contradiction.N
contradictions,contradiction.N
contradictory,contradictory.N
contrary,contrary.ADV
control,control.V::g1s:g1p:g2s:g2p:g3p
convenient,convenient.ADJ
conversation,conversation.N
conversations,conversation.N
conveyed,convey.V
conveying,convey.V
conveys,convey.V::g3s
conviction,conviction.N
convince,convince.V::g1s:g1p:g2s:g2p:g3p
convinced,convince.V
convincing,convince.V
cook,cook.V::g1s:g1p:g2s:g2p:g3p
cooking,cook.V
cooled,cool.V
coordination,coordination.N
copied,copy.V
copies,copy.V::g3s
copula,copula.N
copulates,copulate.V::g3s
copulative,copulative.N
copy,copy.V::g1s:g1p:g2s:g2p:g3p
corner,corner.V::g1s:g1p:g2s:g2p:g3p
corps,corps.N
correct,correct.V::g1s:g1p:g2s:g2p:g3p
corrected,correct.V
correcting,correct.V
correction,correction.N
corrections,correction.N
correctly,correctly.ADV
correctness,correctness.N
correlated,correlate.V
correlating,correlate.V
correlation,correlation.N
correspond,correspond.V::g1s:g1p:g2s:g2p:g3p
correspondence,correspondence.N
correspondent,correspondent.N
corresponding,correspond.V
corresponds,correspond.V::g3s
corse,corse.N
cosmetics,cosmetic.N
cost,cost.V::g1s:g1p:g2s:g2p:g3p
cottage,cottage.N
couch,couch.V::g1s:g1p:g2s:g2p:g3p
could,could.V::g1s:g1p:g2s:g2p:g3s:g3p
council,council.N
count,count.V::g1s:g1p:g2s:g2p:g3p
country,country.N
countryman,countryman.N
couple,couple.V::g1s:g1p:g2s:g2p:g3p
coupons,coupon.N
courage,courage.N
