Aar,Aar.N:m
Anheizen,Anheizen.N:4sn:3sn:1sn
anheizen,anheizen.V#2
Anhören,Anhören.N:4sn:3sn:1sn
anhören,anhören.V#2
ankam,ankommen.V#2
ankämen,ankommen.V#2
ank,anken.V
Anklang,Anklang.N:m
anklang,anklingen.V#2
Anknüpfung,Anknüpfung.N:4sf:3sf:2sf:1sf
ankomme,ankommen.V#2
Ankommen,Ankommen.N:4sn:3sn:1sn
ankommen,ankommen.V#2
ankommt,ankommen.V#2
Ankündigung,Ankündigung.N:4sf:3sf:2sf:1sf
Ankunft,Ankunft.N:4sf:3sf:2sf:1sf
Anlage,Anlage.N:f
anlangten,anlangen.V#2
anlass,anlassen.V#2
anlaß,anlassen.V#2
Anlass,Anlass.N:m
Anlaß,Anlaß.N:m
anlasse,anlassen.V#2
Anlasse,Anlaß.N:3sm
Anliegen,Anliegen.N:4sn:3sn:1sn
anliegen,anliegen.V#2
anmerkte,anmerken.V#2
Anmuten,Anmuten.N:4sn:3sn:1sn
anmuten,anmuten.V#2
annahm,annehmen.V#2
Annahme,Annahme.N:f
Annalen,Annalen.N
annehmbaren,annehmbar.ADJ
Annehmbaren,Annehmbare.N
annehme,annehmen.V#2
Annehmen,Annehmen.N:4sn:3sn:1sn
annehmen,annehmen.V#2
annimmt,annehmen.V#2
anonym,anonym.N
Anpumpen,Anpumpen.N:4sn:3sn:1sn
anpumpen,anpumpen.V#2
anregend,anregen.V#2
anregende,anregend.ADJ
Anregende,Anregende.N
anregender,anregend.ADJ
Anregender,Anregende.N
Anregung,Anregung.N:4sf:3sf:2sf:1sf
Anregungen,Anregung.N:4pf:3pf:2pf:1pf
Anrufen,Anruf.N:3pm
anrufen,anrufen.V#2
ans,ans.DET:4sn:1sn
anschaue,anschauen.V#2
Anschauen,Anschauen.N:4sn:3sn:1sn
anschauen,anschauen.V#2
anschaust,anschauen.V#2
anschein,anscheinen.V#2
Anschein,Anschein.N:m
Anschließen,Anschließen.N:4sn:3sn:1sn
anschließen,anschließen.V#2
Anschreiben,Anschreiben.N:4sn:3sn:1sn
anschreiben,anschreiben.V#2
Anschrift,Anschrift.N:f
ansehe,ansehen.V#2
Ansehen,Ansehen.N:4sn:3sn:1sn
ansehen,ansehen.V#2
Ansicht,Ansicht.N:4sf:3sf:2sf:1sf
Ansichten,Ansicht.N:f
ansporn,anspornen.V#2
Ansporn,Ansporn.N:m
Anspruch,Anspruch.N:m
Ansprüchen,Anspruch.N:3pm
Anspruchslosigkeit,Anspruchslosigkeit.N:4sf:3sf:2sf:1sf
Anstalt,Anstalt.N:4sf:3sf:2sf:1sf
Anstand,Anstand.N:4sm:3sm:1sm
anstand,anstehen.V#2
Anständigkeit,Anständigkeit.N:4sf:3sf:2sf:1sf
Anstatt,Anstatt.N:f
Anstellen,Anstelle.N:f
anstellen,anstellen.V#2
Anstellung,Anstellung.N:4sf:3sf:2sf:1sf
Anstrengen,Anstrengen.N:4sn:3sn:1sn
anstrengen,anstrengen.V#2
anstrengend,anstrengen.V#2
anstrengenden,anstrengend.ADJ
Anstrengenden,Anstrengende.N
anstrengt,anstrengen.V#2
anstrengte,anstrengen.V#2
Anstrengung,Anstrengung.N:4sf:3sf:2sf:1sf
Anstrengungen,Anstrengung.N:4pf:3pf:2pf:1pf
Ante,Ante.N:f
Anteil,Anteil.N:4sm:3sm:1sm
Antiquariats,Antiquariat.N
antiquarisch,antiquarisch.ADJ
antiquarischen,antiquarisch.ADJ
Antiquarischen,Antiquarische.N
Antlitz,Antlitz.N:n
Antreten,Antreten.N:4sn:3sn:1sn
antreten,antreten.V#2
Antun,Antun.N:4sn:3sn:1sn
antun,antun.V#2
antwort,antworten.V
Antwort,Antwort.N:f
antworte,antworten.V
Antworten,Antwort.N:f
antworten,antworten.V
antwortest,antworten.V
antwortete,antworten.V
Anwalt,Anwalt.N:4sm:3sm:1sm
Anwandlung,Anwandlung.N:4sf:3sf:2sf:1sf
Anweisung,Anweisung.N:4sf:3sf:2sf:1sf
Anweisungen,Anweisung.N:4pf:3pf:2pf:1pf
Anwenden,Anwenden.N:4sn:3sn:1sn
anwenden,anwenden.V#2
anwendest,anwenden.V#2
Anwendung,Anwendung.N:4sf:3sf:2sf:1sf
anwesend,anwesend.ADJ
Anwesenheit,Anwesenheit.N:4sf:3sf:2sf:1sf
anwidert,anwidern.V#2
anzahl,anzahlen.V#2
Anzahl,Anzahl.N:f
Anzeigen,Anzeige.N
anzeigen,anzeigen.V#2
anziehende,anziehend.ADJ
Anziehende,Anziehende.N
anziehendes,anziehend.ADJ
Anziehendes,Anziehende.N
