Aar,Aar.N:m
Außen,Außen.N:m:2sm:2pm:1sm:1pm
Avancement,Avancement.N:n
Avenue,Avenue.N:fen
Aware,Aware.N:m
Axiom,Axiom.N:n
Axioms,Axiom.N:n
Baby,Baby.N:n
Bach,Bach.N:m
Back,Backe.N
Backen,Backe.N
Background,Background.N:m
Bacon,Bacon.N:m
Bad,Bad.N:n
Bade,Bad.N
Baden,Baden.N:n
Bagatellen,Bagatelle.N
Bahn,Bahn.N:f
Bahnen,Bahnen.N:n
Bahnhof,Bahnhof.N:m
Bahnhöfe,Bahnhof.N:m
Bake,Bake.N:f
Baldige,Baldige.N
Baldigen,Baldige.N
Baldiger,Baldige.N
Baldiges,Baldige.N
Ballett,Ballett.N:n
Ballon,Ballon.N:m
Band,Band.N:f
Bande,Band.N:m
Bange,Bange.N
Bangen,Bange.N
Bank,Bank.N:f
Bannen,Bann.N:m
Bar,Bar.N:f
Baracke,Baracke.N:f
Baracken,Baracke.N
Bare,Bare.N
Barock,Barock.N:m
Baronin,Baronin.N:f
Barre,Barre.N:f
Bart,Bart.N:m
Barts,Bart.N:men
Baseler,Baseler.N:m
Basis,Basis.N:f
Batterie,Batterie.N:f
Bau,Bau.N:m
Bauch,Bauch.N:m
Baue,Bau.N:m
Bauen,Bauen.N:n
Bauer,Bauer.N:m
Baulichen,Bauliche.N
Baum,Baum.N:m
Baumes,Baum.N:m
Bayern,Bayer.N:m
Bazi,Bazi.N:m
Beanspruchen,Beanspruchen.N:n
Beantworten,Beantworten.N:n
Beantwortung,Beantwortung.N:f
Bearbeiten,Bearbeiten.N:n
Beat,Beat.N:m
Beats,Beat.N:m
Becher,Becher.N:m
Bedacht,Bedacht.N:m
Bedachten,Bedachte.N
Bedanken,Bedanken.N:n
Bedarf,Bedarf.N:m
Bedecken,Bedecken.N:n
Bedenken,Bedenken.N:n
Bedeuten,Bedeuten.N:n
Bedeutenden,Bedeutende.N
Bedeutendes,Bedeutende.N
Bedeutendsten,Bedeutende.N
Bedeutung,Bedeutung.N:f
Bedeutungen,Bedeutung.N:f
Bedienen,Bedienen.N:n
Bedienten,Bediente.N
Bedienung,Bedienung.N:f
Bedingung,Bedingung.N:f
Bedingungen,Bedingung.N:f
Bedrängnis,Bedrängnis.N:f
Bedrängten,Bedrängte.N
Bedürfen,Bedürfen.N:n
Bedürfnis,Bedürfnis.N:n
Bedürftige,Bedürftige.N
Bedürftigkeit,Bedürftigkeit.N:f
Bedürftigsten,Bedürftige.N
Beendigung,Beendigung.N:f
Beengten,Beengte.N
Befangen,Befangen.N:n
Befassen,Befassen.N:n
Befehlen,Befehl.N:m
Befinden,Befinden.N:n
Befohlen,Befohlen.N:n
Befragen,Befragen.N:n
Befreien,Befreien.N:n
Befreundeten,Befreundete.N
Befriedigendes,Befriedigende.N
Befriedigung,Befriedigung.N:f
Befugnis,Befugnis.N:f
Befund,Befund.N:m
Befunden,Befund.N:m
Befürchten,Befürchten.N:n
Befürchtung,Befürchtung.N:f
Beg,Beg.N:m
Begabung,Begabung.N:f
Begabungen,Begabung.N:f
Begeben,Begeben.N:n
Begebenheit,Begebenheit.N:f
Begegnen,Begegnen.N:n
Begeistern,Begeistern.N:n
Begeisterung,Begeisterung.N:f
Beginn,Beginn.N:m
Beginnen,Beginnen.N:n
Beginns,Beginn.N:m
Begleichen,Begleichen.N:n
Begleiten,Begleiten.N:n
Begleitende,Begleitende.N
Begleiter,Begleiter.N:m
Beglückwünschen,Beglückwünschen.N:n
Begraben,Begraben.N:n
Begreifen,Begreifen.N:n
Begrenzen,Begrenzen.N:n
Begriff,Begriff.N:m
Begriffe,Begriff.N
Begriffen,Begriff.N:m
Begräbnis,Begräbnis.N:n
Begründen,Begründen.N:n
Begründetes,Begründete.N
Begründung,Begründung.N:f
Begründungen,Begründung.N:f
Begrüßen,Begrüßen.N:n
Begutachtung,Begutachtung.N:f
Behagen,Behagen.N:n
Behagte,Behagte.N
Behalten,Behalten.N:n
Behandeln,Behandeln.N:n
Behandlung,Behandlung.N:f
Behaupten,Behaupten.N:n
Behauptung,Behauptung.N:f
Behauptungen,Behauptung.N:f
Beheizung,Beheizung.N:f
Beherrschen,Beherrschen.N:n
Behufs,Behuf.N
Behörden,Behörde.N
Bei,Bei.N:m
Beibringen,Beibringen.N:n
Beichte,Beichte.N:f
